Rank,Release Group,Worldwide,Domestic,%,Foreign,%
707,Intuitions,"$10,606","$10,606",100%,-,-
708,I'll Take Your Dead,"$10,523","$10,523",100%,-,-
709,When Lambs Become Lions,"$10,197","$9,337",91.6%,$860,8.4%
710,Olivia,"$9,934","$9,934",100%,-,-
711,Streetwise,"$9,904","$9,904",100%,-,-
712,The Spanish Prisoner 2019 Re-release,"$9,589","$9,589",100%,-,-
713,Fritz Lang's Indian Epic 2019 re-release,"$9,345","$9,345",100%,-,-
714,A Dark Place,"$9,212",-,-,"$9,212",100%
715,Cracked Up,"$9,197","$9,197",100%,-,-
716,The Hottest August,"$9,163","$9,163",100%,-,-
717,Frantz Fanon: Black Skin White Mask,"$9,025","$9,025",100%,-,-
718,The Meanest Man in Texas,"$8,850","$8,850",100%,-,-
719,That Part Feeling - the Universe of Arvo Part,"$8,812","$8,812",100%,-,-
720,Dosed,"$8,643",-,-,"$8,643",100%
721,The Dead Center,"$8,320","$8,320",100%,-,-
722,The Etruscan Smile 2019 release,"$8,213","$8,213",100%,-,-
723,Angels Are Made Of Light,"$7,919","$7,919",100%,-,-
724,This Magnificent Cake!,"$7,888","$7,888",100%,-,-
725,Ghost Fleet,"$7,850","$7,850",100%,-,-
726,The Plagiarists,"$7,768","$7,768",100%,-,-
727,Gregory's Girl,"$7,710","$7,710",100%,-,-
728,Beloved Beast,"$7,301","$7,301",100%,-,-
729,Going Attractions: The Definitive Story of the Movie Palace,"$6,763","$6,763",100%,-,-
730,Dying to Survive 2019 Re-release,"$6,752","$6,752",100%,-,-
731,Spiral Farm,"$6,517","$6,517",100%,-,-
732,Under the Eiffel Tower,"$6,291","$6,291",100%,-,-
733,To Be of Service,"$6,173","$6,173",100%,-,-
734,Relaxer,"$6,133","$6,133",100%,-,-
735,Blood Widow,"$6,047","$6,047",100%,-,-
736,Human Nature,"$5,834","$5,487",94.1%,$347,5.9%
737,Love Goes Public,"$5,738","$5,738",100%,-,-
738,Série noire,"$5,633","$5,633",100%,-,-
739,The Miracle of the Little Prince,"$5,553","$5,553",100%,-,-
740,Chokehold,"$5,200","$5,200",100%,-,-
741,The Gliksmans,"$5,166","$5,166",100%,-,-
742,100 Acres of Hell,"$5,152","$5,152",100%,-,-
743,Body at Brighton Rock,"$5,123","$5,123",100%,-,-
744,Chulas Fronteras,"$5,021","$5,021",100%,-,-
745,The Garden,"$5,006","$5,006",100%,-,-
746,Malek,"$4,898","$4,898",100%,-,-
747,Crepitus,"$4,846","$4,846",100%,-,-
748,Ballet Blanc,"$4,832","$4,832",100%,-,-
749,I'm Leaving Now,"$4,488","$4,488",100%,-,-
750,SGT. Will Gardner,"$4,405","$4,405",100%,-,-
751,Tito and the Birds,"$4,332","$4,332",100%,-,-
752,The Fate of Lee Khan,"$4,295","$4,295",100%,-,-
753,State Like Sleep,"$4,282","$4,282",100%,-,-
754,Chinese Portrait,"$4,140","$4,140",100%,-,-
755,La Flor,"$4,032","$4,032",100%,-,-
756,Mother of a Day,"$3,919","$3,919",100%,-,-
757,Crown Vic,"$3,868","$3,868",100%,-,-
758,Wallflower,"$3,801","$3,801",100%,-,-
759,The Wandering Soap Opera,"$3,624","$3,624",100%,-,-
760,Rottentail,"$3,383","$3,383",100%,-,-
761,Chasing Portraits,"$3,076","$3,076",100%,-,-
762,Back to the Fatherland,"$2,697","$2,697",100%,-,-
763,Division 19,"$2,680","$1,699",63.4%,$981,36.6%
764,Joan the Maid 1: The Battles,"$2,562","$2,562",100%,-,-
765,TINY: The Life of Erin Blackwell,"$2,465","$2,465",100%,-,-
