Rank,Release Group,Worldwide,Domestic,%,Foreign,%
186,Tread,"$36,527","$36,527",100%,-,-
187,Waiting for Anya,"$36,404",-,-,"$36,404",100%
188,RBG 2020 Re-release,"$34,000","$34,000",100%,-,-
189,Max Winslow and the House of Secrets,"$31,250","$31,250",100%,-,-
190,Rent-A-Pal,"$30,901","$30,901",100%,-,-
191,After Parkland,"$30,444","$30,444",100%,-,-
192,Henchmen 2020 Re-release,"$30,223","$30,223",100%,-,-
193,Olympic Dreams,"$29,450","$29,450",100%,-,-
194,Buffaloed,"$29,118","$29,118",100%,-,-
195,Abe,"$28,657",-,-,"$28,657",100%
196,Pray: The Story of Patrick Peyton,"$27,660","$27,660",100%,-,-
197,Cane River 2020 Re-release,"$27,317","$27,317",100%,-,-
198,José,"$26,563","$26,563",100%,-,-
199,Unsubscribe,"$25,488","$25,488",100%,-,-
200,Disappearance at Clifton Hill,"$25,084","$25,084",100%,-,-
201,Stage Mother,"$24,736",-,-,"$24,736",100%
202,Heart of Africa,"$24,139","$24,139",100%,-,-
203,"Phoenix, Oregon","$23,613","$23,613",100%,-,-
204,Never Too Late,"$23,135",-,-,"$23,135",100%
205,Premature,"$23,071","$23,071",100%,-,-
206,L'Innocente,"$22,549","$22,549",100%,-,-
207,Lore,"$20,006","$20,006",100%,-,-
208,Foster Boy,"$19,873","$19,873",100%,-,-
209,Made in Hong Kong,"$17,843","$17,843",100%,-,-
210,Pandora and the Flying Dutchman 2020 Re-release,"$17,401","$17,401",100%,-,-
211,Advocate,"$16,942","$16,942",100%,-,-
212,Centigrade,"$16,263","$16,263",100%,-,-
213,Straight Up,"$16,080","$16,080",100%,-,-
214,The Bay of Silence,"$15,889","$1,941",12.2%,"$13,948",87.8%
215,American Deep State,"$15,269","$15,269",100%,-,-
216,"I Was at Home, But...","$14,078","$14,078",100%,-,-
217,Killer Raccoons! 2! Dark Christmas in the Dark!,"$12,382","$12,382",100%,-,-
218,The Pale Door,"$12,374",-,-,"$12,374",100%
219,The Grizzlies,"$11,650","$11,650",100%,-,-
220,Powerbomb,"$11,319","$11,319",100%,-,-
221,Lost in America,"$11,301","$11,301",100%,-,-
222,Draupadi Unleashed,"$11,225","$11,225",100%,-,-
223,You Go to My Head,"$10,682","$10,682",100%,-,-
224,Guest Artist,"$10,017","$10,017",100%,-,-
225,Foosballers,"$9,966","$9,966",100%,-,-
226,Just One More Kiss,"$9,130","$9,130",100%,-,-
